,life_expectancy,income,co2_emissions(tonnes/person),total_health_spending,gov_health_spending,kcal_day,sugar_g_day,Schooling,Alcohol, BMI ,children/woman
274,57.3,1310.0,0.34,61.3,18.2,2510.0,26.4,9.7,6.15,26.0,5.11
275,79.2,43600.0,17.4,2090.0,1470.0,3510.0,139.0,15.9,7.6,57.8,1.52
276,79.4,44000.0,17.0,2150.0,1500.0,3500.0,145.0,15.8,7.6,58.5,1.52
277,79.6,44900.0,16.6,2250.0,1560.0,3500.0,153.0,15.8,7.7,59.3,1.52
278,79.8,45200.0,17.5,2680.0,1880.0,3520.0,153.0,15.8,7.7,6.0,1.53
279,80.0,46200.0,17.3,3040.0,2130.0,3530.0,149.0,15.8,7.8,6.6,1.55
280,80.2,47200.0,17.3,3450.0,2430.0,3480.0,147.0,15.8,8.0,61.3,1.57
281,80.4,48000.0,16.7,3910.0,2730.0,3470.0,145.0,15.8,8.2,61.9,1.6
282,80.6,48600.0,16.8,4340.0,3050.0,3480.0,146.0,15.8,8.3,62.5,1.62
283,80.8,48500.0,16.8,4620.0,3260.0,3470.0,141.0,15.8,8.3,63.0,1.63
284,81.1,46500.0,15.9,4520.0,3190.0,3440.0,136.0,15.9,8.4,63.6,1.64
285,81.3,47400.0,15.6,5220.0,3680.0,3450.0,126.0,15.9,8.4,64.1,1.64
286,69.8,2180.0,0.4970000000000001,57.2,42.0,2360.0,65.5,11.3,3.49,21.5,3.76
287,70.0,2190.0,0.529,63.6,48.2,2370.0,76.2,11.0,3.81,22.1,3.62
288,70.3,2260.0,0.608,68.6,51.9,2320.0,67.9,11.3,3.82,22.6,3.48
289,70.6,2310.0,0.669,80.9,59.8,2410.0,70.5,11.3,4.16,23.2,3.36
290,70.8,2510.0,0.706,101.0,78.6,2520.0,71.0,11.1,4.19,23.7,3.24
291,71.1,2640.0,0.927,97.9,75.6,2520.0,66.9,11.2,4.26,24.3,3.13
292,71.4,2810.0,0.984,122.0,95.1,2510.0,61.9,11.9,4.25,24.9,3.02
293,71.4,3200.0,1.04,137.0,103.0,2570.0,61.0,11.9,5.28,25.5,2.93
294,72.0,3380.0,0.955,156.0,114.0,2540.0,60.8,12.2,4.16,26.2,2.83
295,72.2,3300.0,1.06,150.0,111.0,2560.0,60.6,12.4,4.45,26.8,2.75
296,72.5,3310.0,1.11,155.0,116.0,2520.0,58.0,12.7,4.75,27.5,2.67
